Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Song S.; Gao N.; Zhang Y.; Ma C.,"Song, Shuang (57222068865); Gao, Neng (7102428909); Zhang, Yifei (58663080300); Ma, Cunqing (56912636400)",57222068865; 7102428909; 58663080300; 56912636400,BRITD: behavior rhythm insider threat detection with time awareness and user adaptation,2024,Cybersecurity,7,1,2,,,18,10.1186/s42400-023-00190-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181041413&doi=10.1186%2Fs42400-023-00190-9&partnerID=40&md5=b3649a24531887e3bcd4a36cb22b906c,"Researchers usually detect insider threats by analyzing user behavior. The time information of user behavior is an important concern in internal threat detection. Existing works on insider threat detection fail to make full use of the time information, which leads to their poor detection performance. In this paper, we propose a novel behavioral feature extraction scheme: we implicitly encode absolute time information in the behavioral feature sequences and use a feature sequence construction method taking covariance into account to make our scheme adaptive to users. We select Stacked Bidirectional LSTM and Feedforward Neural Network to build a deep learning-based insider threat detection model: Behavior Rhythm Insider Threat Detection (BRITD). BRITD is universally applicable to various insider threat scenarios, and it has good insider threat detection performance: it achieves an AUC of 0.9730 and a precision of 0.8072 with the CMU CERT dataset, which exceeds all baselines. Graphical Abstract: [Figure not available: see fulltext.] © 2024, The Author(s).",Behavior pattern mining; Deep learning; Insider threat detection; Time information; User adaptive,Behavioral research; Feature extraction; Information use; Long short-term memory; Behavior pattern mining; Behaviour patterns; Deep learning; Detection performance; Insider Threat; Insider threat detections; Pattern mining; Time information; User behaviors; User-adaptive; Feedforward neural networks,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85181041413
Prasad P.S.S.; Nayak S.K.; Krishna M.V.,"Prasad, Pennada Siva Satya (58093706500); Nayak, Sasmita Kumari (57222629144); Krishna, M. Vamsi (58895008700)",58093706500; 57222629144; 58895008700,ENHANCED INSIDER THREAT DETECTION THROUGH MACHINE LEARNING APPROACH WITH IMBALANCED DATA RESOLUTION,2024,Journal of Theoretical and Applied Information Technology,102,3,,914,926,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185518759&partnerID=40&md5=3357162e90dc686cc2356d277256f046,"An insider threat is the risk that person inside an organization may pose to the company’s security, data, or resources. Insider threat detection is a crucial component of a comprehensive cybersecurity strategy. By identifying and mitigating risks from within the organization, businesses can better protect their assets, maintain trust, and ensure compliance with legal and regulatory requirements. This paper addresses the detection of insider threats using machine learning algorithms. A famous CERT dataset was used for the experiments. The collected dataset is largely imbalanced. The ML algorithms cannot perform well with imbalanced datasets. So, data imbalance can be resolved by using three over sampling techniques namely random oversample, smote, adasyn and three under sampling techniques namely random under sample, Cluster centroids and Edited Nearest Neighbors. Later, five ML algorithms namely Logistic Regression, Adaboost, Decision Tree, Random Forest and Naïve Bayes applied to the datasets generated through over sampling and under sampling techniques. To further increase the performance of the model, an ensemble learning is proposed along with principal component analysis. The experimental results demonstrated that the proposed model surpassed the performance of existing models for insider threat detection. © Little Lion Scientific.",Data Imbalance; Ensemble Learning; Insider Threat Detection; Machine Learning; Over Sampling; Under Sampling,,Article,Final,,Scopus,2-s2.0-85185518759
Kamatchi K.; Uma E.,"Kamatchi, K. (59463317500); Uma, E. (55838596000)",59463317500; 55838596000,Insights into user behavioral-based insider threat detection: systematic review,2025,International Journal of Information Security,24,2,88,,,7,10.1007/s10207-025-01002-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000740708&doi=10.1007%2Fs10207-025-01002-6&partnerID=40&md5=4383430798ea08ec20a48e47bc04bb13,"The increasing complexity of organizational systems creates new opportunities for insider threats to exploit vulnerabilities and cause significant damage. Insider threat detection (ITD) has become a critical first line of defense for organizations to prevent security breaches. Researchers have developed numerous methodologies targeting specific types of network activities, such as file transfers, login attempts, and network traffic patterns to address these threats. User behavioral-based insider threat detection (UBITD) is a critical research and development direction in cybersecurity. Despite the abundance of research on ITD methods, there is a notable scarcity of systematic reviews focusing on the latest advancements and the data used to train them. Although numerous review papers have explored various ITD approaches, most adopt a non-systematic approach, merely comparing existing techniques without providing a comprehensive analytical synthesis of methodologies and performance outcomes. Consequently, these reviews fall short of delivering a holistic understanding of the current ITD landscape, as much of the existing literature emphasizes signature-based ITD with a focus on machine learning and deep learning models, while UBITD remains minimally explored. This paper presents an in-depth analysis of UBITD by systematically reviewing 101 of the most influential research papers published on the topic. Our analysis rigorously examines the technical advancements, data preprocessing techniques, detection approaches, evaluation metrics, researcher collaborations, datasets, and future trends in this field. The findings reveal unsolved research challenges and uncharted research areas within each of these perspectives. By outlining several high-impact future research endeavors, this study aims to strengthen ITD role in cybersecurity, contributing to the development of more robust and proactive defenses against insider threats. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.",Dataset; Deep learning; Insider threat; Machine learning; Systematic literature review; User behavioral,Adversarial machine learning; Contrastive Learning; Deep learning; Cyber security; Dataset; Deep learning; Detection approach; Insider Threat; Insider threat detections; Machine-learning; Systematic literature review; Systematic Review; User behavioral; Cybersecurity,Article,Final,,Scopus,2-s2.0-86000740708
Asmar M.; Tuqan A.,"Asmar, Muath (54942360500); Tuqan, Alia (58886110700)",54942360500; 58886110700,Integrating machine learning for sustaining cybersecurity in digital banks,2024,Heliyon,10,17,e37571,,,25,10.1016/j.heliyon.2024.e37571,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203195089&doi=10.1016%2Fj.heliyon.2024.e37571&partnerID=40&md5=a9d8cafef9d1be6419ab17b64379d803,"Cybersecurity continues to be an important concern for financial institutions given the technology's rapid development and increasing adoption of digital services. Effective safety measures must be adopted to safeguard sensitive financial data and protect clients from potential harm due to the rise in cyber threats that target digital organizations. The aim of this study is to investigates how machine learning algorithms are integrated into cyber security measures in the context of digital banking and its benefits and drawbacks. We initially provide a general overview of digital banks and the particular security concerns that differentiate them from conventional banks. Then, we explore the value of machine learning in strengthening cybersecurity defenses. We revealed that insider threats, distributed denial of service (DDoS) assaults, ransomware, phishing attacks, and social engineering are main cyberthreats that are digital banks exposed. We identify the appropriate machine learning algorithms such as support vector machines (SVM), recurrent neural networks (RNN), hidden markov models (HMM), and local outlier factor (LOF) that are used for detection and prevention cyberthreats. In addition, we provide a model that considers ethical concerns while constructing a cybersecurity framework to address potential vulnerabilities in digital banking systems. The advantages and disadvantages of incorporating machine learning into the cybersecurity strategy of digital banks are outlined using strengths, weaknesses, opportunities, threats (SWOT) analysis. This study seeks to provide a thorough knowledge of how machine learning may strengthen cybersecurity procedures, protect digital banks, and maintain customer trust in the ecosystem of digital banking. © 2024",Cybersecurity; Digital banking; Fraud detection; Machine learning; Phishing attacks; Security measures,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85203195089
Randive K.; Mohan R.; Sivakrishna A.M.,"Randive, Krunal (57204591006); Mohan, R. (57201496797); Sivakrishna, Ambairam Muthu (58073800700)",57204591006; 57201496797; 58073800700,An efficient pattern-based approach for insider threat classification using the image-based feature representation,2023,Journal of Information Security and Applications,73,,103434,,,25,10.1016/j.jisa.2023.103434,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146646162&doi=10.1016%2Fj.jisa.2023.103434&partnerID=40&md5=092b8ac00b47b32214ad4e1a33699430,"Insider threats are expensive, difficult to detect, and sadly, on the rise. Despite significant research efforts, existing approaches are inadequate in accuracy and precision. They also suffer from a high false-positive rate in detecting insider attacks due to the heterogeneous nature of available insider threat data. Researchers have attempted an image-based approach for detecting insider threats to overcome the challenges from existing techniques. Most existing image-based approaches utilized Convolutional neural networks (CNN) to detect insider threats. Moreover, the CNN-based model lost the important user behavioral features due to the pooling operation. Also, they are often unsuitable for predictive modeling with features that lack spatial correlations. Aiming to address this issue, the Wavelet convolutional neural network (WCNN) is proposed. The WCNN model takes advantage of spectral and spatial analysis to classify insider threats using image-based feature representations. The proposed approach combines the scenario-specific single-day features from the user activity logs into a one-dimensional feature vector. It is then represented as images that reveal visual patterns effectively to identify malicious insiders using WCNN. In addition, the proposed approach adopts the SMOTEENN sampling technique to solve the class imbalance problem. The performance of the proposed approach is evaluated on the benchmark dataset. Experimental results show the improvement of the proposed approach over the current state-of-the-art techniques in terms of classification accuracy (97.19%), AUC (97.30%), and low false positives to identify malicious insiders. © 2023 Elsevier Ltd",Class imbalance; Image-based feature representation; Insider threat; Insider threat classification; Multi-perspective feature selection; Wavelet CNN,Behavioral research; Convolution; Convolutional neural networks; Image classification; Image representation; Class imbalance; Convolutional neural network; Feature representation; Features selection; Image-based feature representation; Image-based features; Insider Threat; Insider threat classification; Multi-perspective; Multi-perspective feature selection; Threat classifications; Wavelet convolutional neural network; Benchmarking,Article,Final,,Scopus,2-s2.0-85146646162
Kim D.-W.; Shin G.-Y.; Han M.-M.,"Kim, Dong-Wook (57202035773); Shin, Gun-Yoon (57219208939); Han, Myung-Mook (7402604202)",57202035773; 57219208939; 7402604202,Anomaly Detection Based on Discrete Wavelet Transformation for Insider Threat Classification,2023,Computer Systems Science and Engineering,46,1,,153,164,2,10.32604/csse.2023.034589,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147434811&doi=10.32604%2Fcsse.2023.034589&partnerID=40&md5=f9e581d47c10f512d26549cf511cc8ac,"Unlike external attacks, insider threats arise from legitimate users who belong to the organization. These individuals may be a potential threat for hostile behavior depending on their motives. For insider detection, many intrusion detection systems learn and prevent known scenarios, but because malicious behavior has similar patterns to normal behavior, in reality, these systems can be evaded. Furthermore, because insider threats share a feature space similar to normal behavior, identifying them by detecting anomalies has limitations. This study proposes an improved anomaly detection methodology for insider threats that occur in cybersecurity in which a discrete wavelet transformation technique is applied to classify normal vs. malicious users. The discrete wavelet transformation technique easily discovers new patterns or decomposes synthesized data, making it possible to distinguish between shared characteristics. To verify the efficacy of the proposed methodology, experiments were conducted in which normal users and malicious users were classified based on insider threat scenarios provided in Carnegie Mellon University's Computer Emergency Response Team (CERT) dataset. The experimental results indicate that the proposed methodology with discrete wavelet transformation reduced the false-positive rate by 82% to 98% compared to the case with no wavelet applied. Thus, the proposed methodology has high potential for application to similar feature spaces. © 2023 Authors. All rights reserved.",Anomaly detection; cybersecurity; discrete wavelet transformation; insider threat classification,Cybersecurity; Discrete wavelet transforms; Intrusion detection; Metadata; Signal reconstruction; Anomaly detection; Cyber security; Discrete wavelets transformations; Feature space; Insider Threat; Insider threat classification; Legitimate users; Normal behavior; Threat classifications; Transformation techniques; Anomaly detection,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85147434811
Gao P.; Zhang H.; Wang M.; Yang W.; Wei X.; Lv Z.; Ma Z.,"Gao, Peng (57220906388); Zhang, Haotian (36618391300); Wang, Ming (58359791700); Yang, Weiyong (57196041465); Wei, Xinshen (59095865400); Lv, Zhuo (55559524200); Ma, Zengzhou (58244549200)",57220906388; 36618391300; 58359791700; 57196041465; 59095865400; 55559524200; 58244549200,Deep Temporal Graph Infomax for Imbalanced Insider Threat Detection,2025,Journal of Computer Information Systems,65,1,,108,118,9,10.1080/08874417.2023.2267510,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174286173&doi=10.1080%2F08874417.2023.2267510&partnerID=40&md5=6877376732d27df8656fd44a690ad7b4,"Insider threats pose a significant concern for critical information infrastructures. Graph neural networks are widely used for detection due to their ability to model complex relationships among network entities. However, deep learning algorithms struggle with learning from business system data as anomalies are extremely rare. To tackle this challenge, we propose deep temporal graph infomax (DTGI), a new method for detecting insider threats in real-world scenarios with highly imbalanced data. DTGI utilizes an extended continuous-time dynamic heterogeneous graph network and a behavior context constraint anomaly sample generator. This generator incorporates attack behavior context constraints to augment attack samples and enhance the performance of the supervised model. Extensive experiments conducted on the CERT dataset, consisting of over one million records, demonstrate that DTGI surpasses state-of-the-art methods in terms of detection performance. © 2023 International Association for Computer Information Systems.",anomaly detection; dynamic graph; graph contrastive learning; graph neural network; Insider threat,Continuous time systems; Deep neural networks; Graph neural networks; Learning algorithms; Anomaly detection; Context constraint; Dynamic graph; Graph contrastive learning; Graph neural networks; Infomax; Information infrastructures; Insider Threat; Insider threat detections; Temporal graphs; Anomaly detection,Article,Final,,Scopus,2-s2.0-85174286173
Sánchez Sánchez P.M.; Huertas Celdrán A.; Buendía Rubio J.R.; Bovet G.; Martínez Pérez G.,"Sánchez Sánchez, Pedro Miguel (56371197300); Huertas Celdrán, Alberto (56011153200); Buendía Rubio, José Rafael (58038349300); Bovet, Gérôme (55804611600); Martínez Pérez, Gregorio (7203067256)",56371197300; 56011153200; 58038349300; 55804611600; 7203067256,Robust Federated Learning for execution time-based device model identification under label-flipping attack,2024,Cluster Computing,27,1,,313,324,5,10.1007/s10586-022-03949-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145312752&doi=10.1007%2Fs10586-022-03949-w&partnerID=40&md5=ceef5256916fd244cda54b69e2394953,"The computing device deployment explosion experienced in recent years, motivated by the advances of technologies such as Internet-of-Things (IoT) and 5G, has led to a global scenario with increasing cybersecurity risks and threats. Among them, device spoofing and impersonation cyberattacks stand out due to their impact and, usually, low complexity required to be launched. To solve this issue, several solutions have emerged to identify device models and types based on the combination of behavioral fingerprinting and Machine/Deep Learning (ML/DL) techniques. However, these solutions are not appropriate for scenarios where data privacy and protection are a must, as they require data centralization for processing. In this context, newer approaches such as Federated Learning (FL) have not been fully explored yet, especially when malicious clients are present in the scenario setup. The present work analyzes and compares the device model identification performance of a centralized DL model with an FL one while using execution time-based events. For experimental purposes, a dataset containing execution-time features of 55 Raspberry Pis belonging to four different models has been collected and published. Using this dataset, the proposed solution achieved 0.9999 accuracy in both setups, centralized and federated, showing no performance decrease while preserving data privacy. Later, the impact of a label-flipping attack during the federated model training is evaluated using several aggregation mechanisms as countermeasures. Zeno and coordinate-wise median aggregation show the best performance, although their performance greatly degrades when the percentage of fully malicious clients (all training samples poisoned) grows over 50%. © The Author(s) 2023.",Adversarial attacks; Federated Learning; Insider threat; Model identification; Secure aggregation,5G mobile communication systems; Cybersecurity; Internet of things; Learning systems; Risk perception; Adversarial attack; Centralised; Computing devices; Device modelling; Federated learning; Insider Threat; Model identification; Performance; Secure aggregations; Time based; Data privacy,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85145312752
Hajdarevic K.,"Hajdarevic, Kemal (35317455800)",35317455800,"Revolutionizing Vault Security with Smart IoT, Weight Analytics and Machine Learning",2025,TEM Journal,14,1,,18,27,1,10.18421/TEM141-02,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000183129&doi=10.18421%2FTEM141-02&partnerID=40&md5=2499afac25c4eaf66f7a8ae66690fcdb,"The persistent use of physical money, despite the rise of digital payment methods, poses security challenges for vaults storing banknotes and coins. Traditional vault security measures, including physical barriers, time locks, dual control systems, and surveillance, are susceptible to sophisticated attacks and insider threats. This paper introduces a novel approach to enhance vault security by incorporating smart Internet of Things (IoT) devices and machine learning algorithms to monitor the weight of banknotes on vault shelves. By tracking and analysing weight variations, this system aims to detect discrepancies and potential theft. The system employs various machine learning models, including Linear Regression, Lasso Regression, K-Nearest Neighbors (KNN), Support Vector Machines (SVM), and Random Forest, to predict the number of banknotes based on weight and denomination. The evaluation demonstrates that Linear Regression and Lasso Regression achieve the highest accuracy, making them the most effective models for this application. Challenges such as limited data, computational resource constraints, and the need for more refined features are discussed, alongside potential improvements like data augmentation and enhanced interpretability. This approach offers a significant advancement in vault security by integrating modern technology to safeguard physical money against theft and unauthorized access. © (2025), (UIKTEN - Association for Information Communication Technology Education and Science). All rights reserved.",IoT; Machine learning; smart vaults,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105000183129
Pal P.; Chattopadhyay P.; Swarnkar M.,"Pal, Preetam (58167227500); Chattopadhyay, Pratik (55623444600); Swarnkar, Mayank (57188665441)",58167227500; 55623444600; 57188665441,Temporal feature aggregation with attention for insider threat detection from activity logs,2023,Expert Systems with Applications,224,,119925,,,36,10.1016/j.eswa.2023.119925,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151406791&doi=10.1016%2Fj.eswa.2023.119925&partnerID=40&md5=334147e5fc302e3c3714730e7ed5153d,"Nowadays, insider attacks are emerging as one of the top cybersecurity threats. However, the detection of insider threats is a more arduous task for many reasons. A significant cause is the availability of various data types related to insider activities and their possible behavioral drift. Another major reason is that threat activities rarely happen within any organizational environment and usually remain submerged within a massive amount of normal activities thereby creating data imbalance issues. Any insider threat event requires three major components to get materialized: proper motivation, suitable opportunity and a minimum skill set. The simultaneous occurrence of all these elements is rarely found in organizational environment compared to regular activity traits, and the data imbalance thus caused makes accurate detection of threat activities quite challenging. Existing insider threat detection techniques are mainly divided into statistical rule-based, machine learning-based, and deep learning-based methods. Although recent deep learning methods have been found to extract intrinsic behavioral properties from users’ activity patterns more effectively than traditional rule-based and machine-learning methods by utilizing their multilayer architecture. But sporadic approaches prioritize critical sections of activity patterns in their detection scheme. Also, rare methods focused on taking advantage of multiple deep learning-based feature extraction models together in their detection process. Finally, rare methods have adequately focused on data imbalance issues, especially over the unequal proportion of different categories of threat instances. In this paper, we proposed an insider threat detection approach using an ensemble of stacked-LSTM and stacked-GRU-based attention models. Our models are first trained on the user's single-day sequential activity logs. Then a stacked ensemble of trained attention models is used to extract the user's single-day activity information in the form of the feature vector, which is finally used for classification. To address the data imbalance issues, we propose a new equally-weighted random sampling approach for balancing the population of the different categories of threat patterns. We randomly undersample the nonmalicious instances followed by random oversampling of the different categories of threat instances in an equally-weighted manner so that the training models can learn the behavioral characteristics of the different types of insider activity patterns without getting biased towards any particular type, which is a major limitation of random oversampling and random undersampling-based techniques. Experiments have been performed on the different versions of the CMU CERT insider threat datasets. For robust evaluation, stratified division-based train-test sets have been used based on different categories of insider activities. An average AUC of 0.99 on CMU CERT v4.2 and v5.2 datasets and 0.97 on its v6.2 dataset shows the robustness of the proposed approach in detecting insider threats. © 2023 Elsevier Ltd",Attention model; Equally-weighted random sampling; GRU; Imbalanced data; Insider threat; LSTM; Stacked ensemble,Balancing; Cybersecurity; Feature extraction; Learning systems; Long short-term memory; Population statistics; Attention model; Data imbalance; Equally-weighted random sampling; GRU; Imbalanced data; Insider Threat; Insider threat detections; LSTM; Random sampling; Stacked ensemble; Classification (of information),Article,Final,,Scopus,2-s2.0-85151406791
Singh M.; Mehtre B.M.; Sangeetha S.; Govindaraju V.,"Singh, Malvika (57220759787); Mehtre, B.M. (57475691600); Sangeetha, S. (57201067555); Govindaraju, Venu (35586872200)",57220759787; 57475691600; 57201067555; 35586872200,User Behaviour based Insider Threat Detection using a Hybrid Learning Approach,2023,Journal of Ambient Intelligence and Humanized Computing,14,4,,4573,4593,20,10.1007/s12652-023-04581-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149318744&doi=10.1007%2Fs12652-023-04581-1&partnerID=40&md5=40a701f2477beb0043d04907d7360828,"Insider threats constitute a major cause of security breaches in organizations. They are the employees/users of an organization, causing harm by performing any malicious activity. Most of the existing methods to detect insider threats are based on machine and deep learning and have the following limitations: they use predefined rules or stored signatures and fail to detect new or unknown threats; they require explicit feature engineering, which results in more false positives; they require a large amount of training data, and are computationally expensive. In this paper, an improved user behavior-based insider threat detection method is proposed using a hybrid learning approach that overcomes the above limitations. It uses bi-directional long-short-term memory for feature extraction, a feed-forward artificial neural network (using distance measurements) for feature selection, and a support vector machine for classification-normal user or malicious user. The genetic algorithm’s fast global search strategy is used for the support vector machine’s initial kernel selection. Finally, alerts are generated for each user based on their combined anomaly score. The proposed method is tested using the CMU-CERT r4.2 insider threat dataset, and its performance is evaluated using the following parameters: accuracy, precision, recall, f-measure, and area under curve-receiver operating characteristic curve. The results show a significant improvement over the existing methods. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Anomaly detection; Artificial neural network; Bi-directional long short term memory; Insider-Threat-Detection; Pattern matching; Support vector machine; User behaviour analysis,Anomaly detection; Behavioral research; Brain; Feature extraction; Genetic algorithms; Long short-term memory; Network security; Pattern matching; Anomaly detection; Behavior-based; Bi-directional; Bi-directional long short term memory; Insider Threat; Insider threat detections; Pattern-matching; Support vectors machine; User behavior analysis; User behaviors; Support vector machines,Article,Final,,Scopus,2-s2.0-85149318744
He D.; Lv X.; Xu X.; Yu S.; Li D.; Chan S.; Guizani M.,"He, Daojing (25627656800); Lv, Xin (57838026300); Xu, Xueqian (57838575600); Yu, Shui (55741361200); Li, Dawei (57837936200); Chan, Sammy (13310352900); Guizani, Mohsen (7004750176)",25627656800; 57838026300; 57838575600; 55741361200; 57837936200; 13310352900; 7004750176,An Effective Double-Layer Detection System Against Social Engineering Attacks,2022,IEEE Network,36,6,,92,98,8,10.1109/MNET.105.2100425,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135744580&doi=10.1109%2FMNET.105.2100425&partnerID=40&md5=9a9c14a6da2c76a6b73558f56a7c363c,"In recent years, social engineering attacks that use phishing emails as the medium and target specific groups of people have occurred frequently. Current enterprise systems are vulnerable to social engineering attacks. In addition, existing detection methods are relatively ineffective. Therefore, we propose a double-layer detection framework based on deep learning technology. First, a phishing email detection model based on Long Short-Term Memory (LSTM) and extreme gradient boosting tree (XGBoost) is designed from the perspective of individual security. Then, an insider threat detection model based on Bidirectional LSTM and Attention mechanism is designed from the perspective of group security. Finally, combined with the social engineering network attack simulation theory, a social engineering attack and defense simulation platform is established. In the double-layer frame-work, we use Bi-LSTM to obtain long-range dependent features of email body and user sequence information. Then XGBoost and Attention mechanism are used to further strengthen the network structure and improve the classification accuracy. Compared with traditional methods, our model does not require manual feature extraction, and can accurately identify phishing emails and insider threats. Finally, our proposed social engineering simulation platform verifies the effectiveness of the two-layer model. The experimental results show that our proposed framework has the characteristics of timely detection and after-the-fact investigation, which can effectively detect phishing attacks and insider threats faced by enterprise systems.  © 1986-2012 IEEE.",,Computer crime; Data mining; E-learning; Electronic mail; Extraction; Feature extraction; Long short-term memory; Simulation platform; Deep learning; Detection models; Double layers; Enterprise system; Features extraction; Hidden-Markov models; Model-based OPC; Phishing; Psychology; Social engineering; Hidden Markov models,Article,Final,,Scopus,2-s2.0-85135744580
Georgiadou A.; Mouzakitis S.; Askounis D.,"Georgiadou, Anna (8594921100); Mouzakitis, Spiros (24832116700); Askounis, Dimitris (6603428475)",8594921100; 24832116700; 6603428475,Detecting Insider Threat via a Cyber-Security Culture Framework,2022,Journal of Computer Information Systems,62,4,,706,716,63,10.1080/08874417.2021.1903367,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105396104&doi=10.1080%2F08874417.2021.1903367&partnerID=40&md5=92f824e67f803693f7d2e6a1e8079d90,"Insider threat has been recognized by both scientific community and security professionals as one of the gravest security hazards for private companies, institutions, and governmental organizations. Extended research on the types, associated internal and external factors, detection approaches and mitigation strategies has been conducted over the last decades. Various frameworks have been introduced in an attempt to understand and reflect the danger posed by this threat, whereas multiple identified cases have been classified in private or public databases. This paper aims to present how a cyber-security culture framework with a clear focus on the human factor can assist in detecting possible threats of both malicious and unintentional insiders. We link current insider threat categories with specific security domains of the framework and introduce an assessment methodology of the core contributing parameters. Specific approach takes into consideration technical, behavioral, cultural, and personal indicators and assists in identifying possible security perils deriving from privileged individuals. © 2021 International Association for Computer Information Systems.",behavioral indicators; cyber-security culture framework; detection; Insider threat; security assessment,Computer science; Computers; Information systems; Assessment methodologies; Detection approach; Extended researches; Internal and external factors; Mitigation strategy; Private companies; Scientific community; Security professionals; Security of data,Article,Final,,Scopus,2-s2.0-85105396104
Ye X.; Luo F.; Cui H.; Wang J.; Xiong X.; Zhang W.; Yu J.; Zhao W.,"Ye, Xiaoyun (57200435940); Luo, Faqin (59922001500); Cui, Huangrongbin (59921240000); Wang, Jinlong (55993589600); Xiong, Xiaoyun (57902193400); Zhang, Wencui (59921434300); Yu, Jiawei (59921434400); Zhao, Wenhao (59920848700)",57200435940; 59922001500; 59921240000; 55993589600; 57902193400; 59921434300; 59921434400; 59920848700,Research on insider threat detection based on personalized federated learning and behavior log analysis,2025,Scientific Reports,15,1,19214,,,2,10.1038/s41598-025-04029-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006913949&doi=10.1038%2Fs41598-025-04029-w&partnerID=40&md5=3b9ad2bd7fd7c8876ffb2cd755c753a5,"As the cybersecurity landscape becomes increasingly challenging, insider threat detection has emerged as a critical research area. Traditional methods for detecting insider threats, such as Random Forest and Isolation Forest, suffer from high computational resource consumption, poor feature representation, and sensitivity to noise. While machine learning methods offer certain advantages, they still face challenges in complex data scenarios. This study focuses on the application of Federated Learning in insider threat detection. As a distributed machine learning framework, FL enables collaborative model building and analysis while safeguarding data privacy. It encompasses various types, including horizontal, vertical, and federated transfer learning. However, its application in insider threat detection remains limited. This research proposes an innovative solution to address the shortcomings of existing Federated Learning-based detection methods (e.g., FedAT), such as insufficient feature extraction and high resource consumption. Drawing on the DeepInsight concept, we convert different data types into image formats for use with Convolutional Neural Networks (CNNs) to train insider threat detection models. This approach leverages the advantages of FL’s privacy protection and multi-source data integration while harnessing the powerful feature learning capabilities of CNNs. It improves key metrics such as accuracy and recall in insider threat detection. The proposed method offers a more efficient and precise approach to detecting insider threats in cybersecurity, advancing the development and practical application of relevant technologies in this field with significant theoretical and practical implications. © The Author(s) 2025.",Behavior log analysis; Federated learning; Insider threat detection; Numerical data visualization,"Computer Security; Federated Learning; Humans; Machine Learning; Neural Networks, Computer; Privacy; adult; article; benchmarking; computer security; convolutional neural network; data integration; data privacy; data visualization; feature extraction; federated learning; female; forest; human; learning; machine learning; male; noise; privacy; random forest; transfer of learning; artificial neural network; computer security; federated learning; machine learning",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105006913949
Li W.; Tian F.; Li J.; Xiang Y.,"Li, Wenjuan (57189107700); Tian, Fei (57218849355); Li, Jin (57202722689); Xiang, Yang (57114147900)",57189107700; 57218849355; 57202722689; 57114147900,Evaluating intrusion sensitivity allocation with supervised learning in collaborative intrusion detection,2022,Concurrency and Computation: Practice and Experience,34,16,e5957,,,4,10.1002/cpe.5957,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090467646&doi=10.1002%2Fcpe.5957&partnerID=40&md5=6c72a28b699788abed41be850df5f8bd,"Network intrusions are a big security threat to current computer networks. For protection, collaborative intrusion detection networks (CIDNs) are developed attempting to reach better detection performance than a single detector, by allowing a set of detectors to switch data or information with each other. However, there is a need to implement suitable trust management schemes, with the aim to safeguard such distributed detection networks against insider threats. In the literature, previous studies have indicated that the notion of intrusion sensitivity can be used to enhance the effectiveness of trust management, by highlighting the feedback from expert nodes. In addition, machine learning can be used to assign the value of intrusion sensitivity automatically. In this work, we evaluate the performance of typical supervised learning classifiers in allocating the value of intrusion sensitivity, and figure out some limitations under different data sets. Then we investigate the impact of intrusion sensitivity in a real network environment under adversarial conditions. The results demonstrate that a wrongly assigned sensitivity value may greatly degrade the detection effectiveness of insider attacks. There is a significant need to choose a suitable classifier in allocating the value of intrusion sensitivity in practice. © 2020 John Wiley & Sons Ltd.",collaborative intrusion detection; insider threat; intrusion sensitivity; supervised learning; trust management,Classification (of information); Intrusion detection; 'current; Collaborative intrusion detection; Detection networks; Detection performance; Insider Threat; Intrusion sensitivity; Intrusion-Detection; Network intrusions; Security threats; Trust management; Supervised learning,Article,Final,,Scopus,2-s2.0-85090467646
